주문시간,체결시간,종류,거래수량,거래단가,거래금액,수수료,정산금액
2024.01.19 03:27,2024.01.19 05:31,매수,0.00023992BTC,"57,000,000KRW","13,676",6.83,"13,683"
2024.01.19 03:27,2024.01.19 04:02,매수,0.00015858BTC,"57,500,000KRW","9,119",4.55,"9,123"
2024.01.19 03:29,2024.01.19 03:29,매수,0.00023727BTC,"57,579,000KRW","13,662",6.83,"13,669"
2024.01.14 22:47,2024.01.15 08:08,매수,0.00021477BTC,"58,000,000KRW","12,457",6.22,"12,463"
2024.01.14 22:47,2024.01.15 05:03,매수,0.00021273BTC,"58,500,000KRW","12,445",6.22,"12,451"
2024.01.03 21:22,2024.01.03 21:22,매수,0.00008794BTC,"56,900,000KRW","5,004",2.50,"5,007"
2024.01.03 21:18,2024.01.03 21:19,매수,0.00008763BTC,"57,100,000KRW","5,004",2.50,"5,007"
2024.01.03 21:18,2024.01.03 21:19,매수,0.00008748BTC,"57,200,000KRW","5,004",2.50,"5,007"
2024.01.03 21:17,2024.01.03 21:18,매수,0.00008732BTC,"57,300,000KRW","5,004",2.50,"5,006"
2024.01.03 21:13,2024.01.03 21:13,매수,0.00008928BTC,"56,001,000KRW","5,000",2.49,"5,003"
2024.01.03 21:11,2024.01.03 21:11,매수,0.00009027BTC,"55,385,000KRW","5,000",2.49,"5,003"
2024.01.03 21:10,2024.01.03 21:10,매수,0.00009181BTC,"54,500,000KRW","5,004",2.50,"5,007"
2024.01.03 21:10,2024.01.03 21:10,매수,0.00009148BTC,"54,700,000KRW","5,004",2.50,"5,007"
2024.01.03 21:09,2024.01.03 21:09,매수,0.00008954BTC,"55,840,000KRW","5,000",2.49,"5,003"
2024.01.03 21:09,2024.01.03 21:09,매수,0.00008928BTC,"56,001,000KRW","5,000",2.49,"5,003"
2024.01.03 21:07,2024.01.03 21:08,매수,0.00008809BTC,"56,800,000KRW","5,004",2.50,"5,006"
2024.01.03 21:07,2024.01.03 21:08,매수,0.00008809BTC,"56,900,000KRW","5,013",2.50,"5,015"
2024.01.03 21:06,2024.01.03 21:06,매수,0.00008763BTC,"57,100,000KRW","5,004",2.50,"5,007"
2024.01.03 21:05,2024.01.03 21:06,매수,0.00008748BTC,"57,200,000KRW","5,004",2.50,"5,007"
2024.01.03 21:05,2024.01.03 21:05,매수,0.00008730BTC,"57,315,000KRW","5,004",2.50,"5,007"
2024.01.03 20:59,2024.01.03 21:01,매수,0.00012149BTC,"58,000,000KRW","7,047",3.52,"7,050"
2024.01.03 20:57,2024.01.03 21:00,매수,0.00008612BTC,"58,100,000KRW","5,004",2.50,"5,006"
2024.01.03 20:57,2024.01.03 21:00,매수,0.00008597BTC,"58,200,000KRW","5,004",2.50,"5,006"
2024.01.03 20:56,2024.01.03 20:56,매수,0.00008585BTC,"58,238,000KRW","5,000",2.49,"5,003"
2024.01.03 20:55,2024.01.03 20:55,매수,0.00008568BTC,"58,400,000KRW","5,004",2.50,"5,007"
2024.01.03 20:52,2024.01.03 20:55,매수,0.00009385BTC,"58,600,000KRW","5,500",2.74,"5,503"
2024.01.03 20:32,2024.01.03 20:51,매수,0.00017015BTC,"58,770,000KRW","10,000",4.99,"10,005"
2024.01.03 20:51,2024.01.03 20:51,매수,0.00008496BTC,"58,851,000KRW","5,000",2.49,"5,003"
2024.01.03 20:33,2024.01.03 20:49,매수,0.00016977BTC,"58,900,000KRW","10,000",4.99,"10,005"
2024.01.03 20:38,2024.01.03 20:49,매수,0.00009322BTC,"59,000,000KRW","5,500",2.74,"5,503"
2024.01.03 20:41,2024.01.03 20:48,매수,0.00009302BTC,"59,121,000KRW","5,500",2.74,"5,503"
2024.01.03 20:34,2024.01.03 20:38,매수,0.00016920BTC,"59,100,000KRW","10,000",4.99,"10,005"
2024.01.03 20:37,2024.01.03 20:37,매수,0.00009104BTC,"59,285,000KRW","5,398",2.69,"5,400"
2024.01.03 20:35,2024.01.03 20:35,매수,0.00010115BTC,"59,298,000KRW","5,998",2.99,"6,001"
2024.01.03 20:32,2024.01.03 20:32,매수,0.00016959BTC,"58,963,000KRW","10,000",4.99,"10,005"
2024.01.03 20:15,2024.01.03 20:27,매수,0.00020846BTC,"58,990,000KRW","12,297",6.14,"12,304"
2024.01.03 20:26,2024.01.03 20:26,매수,0.00013149BTC,"59,100,000KRW","7,771",3.88,"7,775"
2024.01.03 20:25,2024.01.03 20:25,매수,0.00013161BTC,"59,095,000KRW","7,778",3.88,"7,782"
2024.01.03 20:19,2024.01.03 20:19,매수,0.00008747BTC,"59,290,000KRW","5,186",2.59,"5,189"
2024.01.03 20:18,2024.01.03 20:18,매수,0.00011642BTC,"59,387,000KRW","6,914",3.45,"6,918"
2024.01.03 20:16,2024.01.03 20:16,매수,0.00015521BTC,"59,407,000KRW","9,221",4.61,"9,226"
2024.01.03 20:13,2024.01.03 20:13,매수,0.00027511BTC,"59,607,000KRW","16,399",8.19,"16,407"
2024.01.03 20:13,2024.01.03 20:13,매수,0.00012236BTC,"59,570,000KRW","7,289",3.64,"7,293"
2024.01.03 20:12,2024.01.03 20:12,매수,0.00013544BTC,"59,796,000KRW","8,099",4.04,"8,103"
2024.01.03 20:12,2024.01.03 20:12,매수,0.00015018BTC,"59,919,000KRW","8,999",4.49,"9,004"
2024.01.03 20:11,2024.01.03 20:11,매수,0.00016679BTC,"59,955,000KRW","10,000",4.99,"10,005"
2024.01.03 20:08,2024.01.03 20:08,매수,0.00016397BTC,"60,200,000KRW","9,871",4.93,"9,876"
2024.01.02 13:55,2024.01.02 13:55,매수,0.00016496BTC,"59,900,000KRW","9,882",4.94,"9,886"
2024.01.02 11:54,2024.01.02 13:45,매수,0.00018543BTC,"59,990,000KRW","11,124",5.56,"11,130"
2024.01.02 13:01,2024.01.02 13:43,매수,0.00014643BTC,"60,000,000KRW","8,786",4.39,"8,791"
2024.01.02 13:01,2024.01.02 13:08,매수,0.00019495BTC,"60,100,000KRW","11,717",5.85,"11,723"
2024.01.02 13:00,2024.01.02 13:06,매수,0.00008650BTC,"60,200,000KRW","5,208",2.60,"5,210"
2024.01.02 13:02,2024.01.02 13:02,매수,0.00010920BTC,"60,326,000KRW","6,588",3.29,"6,591"
2024.01.02 12:32,2024.01.02 12:49,매수,0.00010662BTC,"60,300,000KRW","6,430",3.21,"6,433"
2024.01.02 12:41,2024.01.02 12:41,매수,0.00007169BTC,"60,403,000KRW","4,331",2.16,"4,333"
2024.01.02 12:41,2024.01.02 12:41,매수,0.00002410BTC,"60,401,000KRW","1,456",0.72,"1,457"
2024.01.02 12:27,2024.01.02 12:27,매수,0.00011867BTC,"60,200,000KRW","7,144",3.57,"7,148"
2024.01.01 08:28,2024.01.01 08:28,매수,0.00013015BTC,"56,990,000KRW","7,418",3.70,"7,421"
2024.01.01 07:59,2024.01.01 08:09,매수,0.00017513BTC,"57,100,000KRW","10,000",4.99,"10,005"
2023.12.27 08:33,2023.12.27 11:57,매수,0.00017690BTC,"56,500,000KRW","9,995",4.99,"10,000"
2023.12.27 08:32,2023.12.27 09:04,매수,0.00017552BTC,"57,000,000KRW","10,005",5.00,"10,010"
2023.12.12 04:33,2023.12.18 19:37,매수,0.00018148BTC,"55,100,000KRW","10,000",4.99,"10,005"
2023.12.12 04:32,2023.12.18 19:36,매수,0.00018115BTC,"55,200,000KRW","10,000",4.99,"10,005"
2023.12.12 04:31,2023.12.18 19:35,매수,0.00018083BTC,"55,300,000KRW","10,000",4.99,"10,005"
2023.12.12 04:31,2023.12.18 19:34,매수,0.00018050BTC,"55,400,000KRW","10,000",4.99,"10,005"
2023.12.12 04:31,2023.12.12 04:40,매수,0.00018018BTC,"55,500,000KRW","10,000",4.99,"10,005"
2023.12.12 04:30,2023.12.12 04:37,매수,0.00017985BTC,"55,600,000KRW","10,000",4.99,"10,005"
2023.12.12 04:30,2023.12.12 04:37,매수,0.00017953BTC,"55,700,000KRW","10,000",4.99,"10,005"
2023.12.12 04:34,2023.12.12 04:37,매수,0.00017836BTC,"55,800,000KRW","9,953",4.97,"9,958"
2023.12.11 14:47,2023.12.11 22:37,매수,0.00014827BTC,"57,500,000KRW","8,526",4.26,"8,530"
2023.12.11 14:26,2023.12.11 14:43,매수,0.00014764BTC,"57,800,000KRW","8,534",4.26,"8,538"
2023.12.11 13:14,2023.12.11 14:30,매수,0.00029493BTC,"57,900,000KRW","17,077",8.53,"17,085"
2023.12.11 12:22,2023.12.11 14:24,매수,0.00032565BTC,"58,000,000KRW","18,888",9.44,"18,898"
2023.12.11 12:20,2023.12.11 13:24,매수,0.00018144BTC,"58,100,000KRW","10,542",5.27,"10,547"
2023.12.11 12:54,2023.12.11 13:13,매수,0.00019563BTC,"58,200,000KRW","11,386",5.69,"11,392"
2023.12.11 12:18,2023.12.11 12:19,매수,0.00042808BTC,"58,400,000KRW","25,000",12.49,"25,013"
2023.12.11 00:33,2023.12.11 09:58,매수,0.00022013BTC,"59,600,000KRW","13,120",6.55,"13,127"
2023.12.11 00:28,2023.12.11 08:22,매수,0.00016750BTC,"59,700,000KRW","10,000",4.99,"10,005"
2023.12.11 00:27,2023.12.11 08:15,매수,0.00016722BTC,"59,800,000KRW","10,000",4.99,"10,005"
2023.12.11 00:27,2023.12.11 04:13,매수,0.00016694BTC,"59,900,000KRW","10,000",4.99,"10,005"
2023.12.11 00:32,2023.12.11 03:59,매수,0.00029185BTC,"59,950,000KRW","17,497",8.74,"17,506"
2023.12.11 00:34,2023.12.11 01:43,매수,0.00016408BTC,"59,960,000KRW","9,839",4.91,"9,844"
2023.12.11 00:35,2023.12.11 01:42,매수,0.00012302BTC,"59,970,000KRW","7,378",3.68,"7,382"
2023.12.11 00:36,2023.12.11 00:58,매수,0.00018447BTC,"59,980,000KRW","11,065",5.53,"11,070"
2023.12.11 00:36,2023.12.11 00:58,매수,0.00018427BTC,"59,990,000KRW","11,055",5.52,"11,060"
2023.12.07 01:02,2023.12.07 18:23,매수,0.00016008BTC,"59,700,000KRW","9,557",4.77,"9,562"
2023.12.07 17:29,2023.12.07 18:15,매수,0.00015912BTC,"60,000,000KRW","9,548",4.77,"9,552"
2023.12.06 15:30,2023.12.06 20:35,매수,0.00032085BTC,"59,600,000KRW","19,123",9.56,"19,133"
2023.12.06 15:30,2023.12.06 20:35,매수,0.00021358BTC,"59,700,000KRW","12,751",6.37,"12,758"
2023.12.06 15:29,2023.12.06 20:35,매수,0.00028439BTC,"59,790,000KRW","17,004",8.50,"17,013"
2023.12.06 08:01,2023.12.06 08:10,매수,0.00030151BTC,"60,200,000KRW","18,151",9.07,"18,160"
2023.12.05 02:03,2023.12.05 16:20,매수,0.00031894BTC,"56,000,000KRW","17,861",8.93,"17,870"
2023.12.05 02:18,2023.12.05 16:19,매수,0.00040623BTC,"56,100,000KRW","22,790",11.39,"22,801"
2023.12.05 02:16,2023.12.05 10:31,매수,0.00040591BTC,"56,200,000KRW","22,813",11.40,"22,824"
2023.12.05 09:22,2023.12.05 10:29,매수,0.00023598BTC,"56,250,000KRW","13,274",6.63,"13,281"
